
frmGoodsReturnPartiesDetail              Form (UI Window)    
frmGoodsReturnQuarters                   Form (UI Window)    
frmGoodsReturnVoucherOptions             Form (UI Window)    
frmGovtSaleVoucher                       Form (UI Window)    
frmGroupFirmReportUtilities              Form (UI Window)    
frmGroupLedgerOptions                    Form (UI Window)    
frmGroupLedgerVouchers                   Form (UI Window)    
frmGroupList                             Form (UI Window)    
frmGroupReportOptions                    Form (UI Window)    
frmGroupTrialBalance                     Form (UI Window)    
frmGroupTrialOptions                     Form (UI Window)    
frmGroupVouchers                         Form (UI Window)    
frmGSTExpReverseVch                      Form (UI Window)    
frmGSTReportsDateCriteria                Form (UI Window)    
frmGSTReportsOptions                     Form (UI Window)    
frmGSTVoucherOptions                     Form (UI Window)    
frmHRDFReport                            Form (UI Window)    
frmIFormVoucher                          Form (UI Window)    
frmIFormVoucherA                         Form (UI Window)    
frmIfrmIndicater                         Form (UI Window)    
frmInterestCalculator                    Form (UI Window)    
frmInterestCalculatorUtilities           Form (UI Window)    
frmInterestCDSettings                    Form (UI Window)    
frmInterestFigures                       Form (UI Window)    
frmInventoryInfo                         Form (UI Window)    
frmJFormBrokerReport                     Form (UI Window)    
frmJFormVoucher                          Form (UI Window)    
frmJFormVoucherA                         Form (UI Window)    
frmJFrmIFrmDiffReport                    Form (UI Window)    
frmJFrmIFrmItemDailyBalance              Form (UI Window)    
frmJFrmIFrmItemDailyVouchers             Form (UI Window)    
frmJFrmIFrmItemMonthlyBalance            Form (UI Window)    
frmJFrmIFrmItemsStock                    Form (UI Window)    
frmJointTradingReport                    Form (UI Window)    
frmJournal                               Form (UI Window)    
frmJournalBook                           Form (UI Window)    
frmJournalVoucher                        Form (UI Window)    
frmJournalVoucherA                       Form (UI Window)    
frmKachiAadhatReportOptions              Form (UI Window)    
frmLagatBikriExp                         Form (UI Window)    
frmLagatBikriVoucherOptions              Form (UI Window)    
frmLedger                                Form (UI Window)    
frmLedgerInterest                        Form (UI Window)    
frmLedgerList                            Form (UI Window)    
frmLedgerListNew                         Form (UI Window)    
frmLedgerReconciliation                  Form (UI Window)    
frmLedgersTINPANList                     Form (UI Window)    
frmLedgersTree                           Form (UI Window)    
frmLedgersTreeForFinalReports            Form (UI Window)    
frmLedgerVouchers                        Form (UI Window)    
frmLedgerVouchersAlreadyOpen             Form (UI Window)    
frmLessCommissionLedger                  Form (UI Window)    
frmListAccounts                          Form (UI Window)    
frmLLFormList                            Form (UI Window)    
frmLLFormOptions                         Form (UI Window)    
frmLLFormPrint                           Form (UI Window)    
frmLLFormRcptNo                          Form (UI Window)    
frmLogoMargins                           Form (UI Window)    
frmMandiDheriesReportsRajasthan          Form (UI Window)    
frmMandiExpSettings                      Form (UI Window)    
frmMandiFeeReportsRajasthan              Form (UI Window)    
frmMandiReportOptions                    Form (UI Window)    
frmMandiSalePurcVoucher                  Form (UI Window)    
frmMandiSinglePartyPendingBags           Form (UI Window)    
frmMandiTypeInterest                     Form (UI Window)    
frmMandiTypeInterestCalculator           Form (UI Window)    
frmManualVoucher                         Form (UI Window)    
frmManualVoucherOptions                  Form (UI Window)    
frmManualVouchers                        Form (UI Window)    
frmMarketAFormReport                     Form (UI Window)    
frmMarketCommttAnnualReports             Form (UI Window)    
frmMarketCommttReportsOptions            Form (UI Window)    
frmMarketCommttReportsOptionsFull        Form (UI Window)    
frmMarketFeeReport                       Form (UI Window)    
frmMarketMFormReport                     Form (UI Window)    
frmMarketTypeInterest                    Form (UI Window)    
frmMemo                                  Form (UI Window)    
frmMemoRegister                          Form (UI Window)    
frmMemoVoucher                           Form (UI Window)    
frmMemoVoucherA                          Form (UI Window)    
frmMilkChillingCentreOptions             Form (UI Window)    
frmMilkDairyOptions                      Form (UI Window)    
frmMilkFATSNFVoucher                     Form (UI Window)    
frmMilkFATVoucher                        Form (UI Window)    
frmMilkFATVouchers                       Form (UI Window)    
frmMilkPartyDetailsOptions               Form (UI Window)    
frmMilkRateList                          Form (UI Window)    
frmMilkRateListNew                       Form (UI Window)    
frmMilkSocietyReport                     Form (UI Window)    
frmMilkVoucher                           Form (UI Window)    
frmMilkVouchers                          Form (UI Window)    
frmMillingVoucher                        Form (UI Window)    
frmMillingVoucherOptions                 Form (UI Window)    
frmMillingVoucherWithAmount              Form (UI Window)    
frmMktSalePurcCanadaOptions              Form (UI Window)    
frmMktSalePurcVoucher                    Form (UI Window)    
frmMktSalePurcVoucherCanada              Form (UI Window)    
frmMonthlyBalance                        Form (UI Window)    
frmMoreVouchers                          Form (UI Window)    
frmMTOptions                             Form (UI Window)    
frmMultiLedgerGroup                      Form (UI Window)    
frmMultiLedgerGroupList                  Form (UI Window)    
frmMultiLedgerGroupOptions               Form (UI Window)    
frmNewVchVchListOptions                  Form (UI Window)    
frmNonWovenIndustryOptions               Form (UI Window)    
frmNonWovenSalePurcVoucher               Form (UI Window)    
frmOtherAppOwner                         Form (UI Window)    
frmOtherInfo                             Form (UI Window)    
frmOtherReportsRajasthan                 Form (UI Window)    
frmOtherUtilities                        Form (UI Window)    
frmOtherUtilitiesLedger                  Form (UI Window)    
frmPartiesListForForm16A                 Form (UI Window)    
frmPartiesListForForms                   Form (UI Window)    
frmPartiesListFormVATC4                  Form (UI Window)    
frmPartiesListFormVATC4Sale              Form (UI Window)    
frmPartyPendingFormsDetail               Form (UI Window)    
frmPayment                               Form (UI Window)    
frmPaymentReport                         Form (UI Window)    
frmPaymentReportOptions                  Form (UI Window)    
frmPaymentVoucher                        Form (UI Window)    
frmPaymentVoucherA                       Form (UI Window)    
frmPDF                                   Form (UI Window)    
frmPeriodPaymentSummary                  Form (UI Window)    
frmPeriodPaymentSummaryOptions           Form (UI Window)    
frmPirateMe                              Form (UI Window)    
frmPirateMeOld                           Form (UI Window)    
frmPostDatedChequeOptions                Form (UI Window)    
frmPostDatedCheques                      Form (UI Window)    
frmPostDatedChequesSingleParty           Form (UI Window)    
frmPostDatedChequeVoucher                Form (UI Window)    
frmPowderVoucher                         Form (UI Window)    
frmPowderVoucherOptions                  Form (UI Window)    
frmPrinting                              Form (UI Window)    
frmPrintingParameters                    Form (UI Window)    
frmPrintInvoicesPDF                      Form (UI Window)    
frmPrintLedgerBookOptions                Form (UI Window)    
frmPrintPDFInvoices                      Form (UI Window)    
frmProductWiseReports                    Form (UI Window)    
frmProfitLoss                            Form (UI Window)    
frmProfitLossSummary                     Form (UI Window)    
frmProgressBar                           Form (UI Window)    
frmProgressBarNew                        Form (UI Window)    
frmPunjabVAT18                           Form (UI Window)    
frmPunjabVAT2324                         Form (UI Window)    
frmPurchaseRegister                      Form (UI Window)    
frmPurchaseRegisterForBCPA               Form (UI Window)    
frmPurchaseRegisterOptions               Form (UI Window)    
frmPurchaseReturnVoucher                 Form (UI Window)    
frmPurchaseReturnVoucherA                Form (UI Window)    
frmPurchaseVoucher                       Form (UI Window)    
frmPurchaseVoucherA                      Form (UI Window)    
frmPurcPymtDueGroupReport                Form (UI Window)    
frmPurcPymtDueReportVouchers             Form (UI Window)    
frmPurcSaleDetail                        Form (UI Window)    
frmPurcTDS194Q                           Form (UI Window)    
frmQuarterlyReturn                       Form (UI Window)    
frmQuarterlyReturnExcelOptions           Form (UI Window)    
frmQuarterlyReturnFormsOptionsRaj        Form (UI Window)    
frmQuarterlyReturnLP7urd                 Form (UI Window)    
frmQuarterlyReturnOptions                Form (UI Window)    
frmQuarters                              Form (UI Window)    
frmQuarterSelectionOptions               Form (UI Window)    
frmQuitYN                                Form (UI Window)    
frmRajasthanVATReportOptions             Form (UI Window)    
frmRajKUMFReport                         Form (UI Window)    
frmRajKUMFReportOptions                  Form (UI Window)    
frmRajMFeeKKKJointReportOptions          Form (UI Window)    
frmRebateMFeePurcReportRaj               Form (UI Window)    
frmReceipt                               Form (UI Window)    
frmReceiptVoucher                        Form (UI Window)    
frmReceiptVoucherA                       Form (UI Window)    
frmReceiptVoucherBillWise                Form (UI Window)    
frmReceiveForm16ATDSVoucher              Form (UI Window)    
frmReceiveForm16ATDSVouchers             Form (UI Window)    
frmRegisterSummaryRajasthan              Form (UI Window)    
frmReminders                             Form (UI Window)    
frmRiceBranVoucher                       Form (UI Window)    
frmRiceBranVouchers                      Form (UI Window)    
frmRiceHuskVoucher                       Form (UI Window)    
frmRiceHuskVouchers                      Form (UI Window)    
frmRouteDetail                           Form (UI Window)    
frmRoutersList                           Form (UI Window)    
frmRoutes                                Form (UI Window)    
frmRoutesBook                            Form (UI Window)    
frmRTGSVoucher                           Form (UI Window)    
frmRTGSVoucherOptions                    Form (UI Window)    
frmRTGSVouchers                          Form (UI Window)    
frmSalePurcFullReport                    Form (UI Window)    
frmSalePurchaseGoodsReturnOptions        Form (UI Window)    
frmSaleRegister                          Form (UI Window)    
frmSaleRegisterForBCPA                   Form (UI Window)    
frmSaleRegisterProductWise               Form (UI Window)    
frmSaleRegisterTaxRateWise               Form (UI Window)    
frmSaleReturnVoucher                     Form (UI Window)    
frmSaleReturnVoucherA                    Form (UI Window)    
frmSaleSchemeDetail                      Form (UI Window)    
frmSaleTaxReportOptions                  Form (UI Window)    
frmSaleVoucher                           Form (UI Window)    
frmSaleVoucherA                          Form (UI Window)    
frmSaudaInOutReport                      Form (UI Window)    
frmSaudaPendings                         Form (UI Window)    
frmSaudaRegisterOptions                  Form (UI Window)    
frmSaudaTransactions                     Form (UI Window)    
frmSaudaVoucher                          Form (UI Window)    
frmSaudaVouchers                         Form (UI Window)    
frmSelfPurchasePendingDheries            Form (UI Window)    
frmSelfPurchasePendingDheriesSingleGroup Form (UI Window)    
frmSelfPurchaseQuarters                  Form (UI Window)    
frmSelfPurchaseReport                    Form (UI Window)    
frmSelfPurchaseVoucher                   Form (UI Window)    
frmSelfTradingItemDailyBalance           Form (UI Window)    
frmSelfTradingItemDailyVouchers          Form (UI Window)    
frmSelfTradingItemMonthlyBalance         Form (UI Window)    
frmSelfTradingItemsStock                 Form (UI Window)    
frmSelfTradingItemsStockDetailed         Form (UI Window)    
frmSendSMS                               Form (UI Window)    
frmSetAccountingYear                     Form (UI Window)    
frmSetAdminCode                          Form (UI Window)    
frmSetDataBackupDirectory                Form (UI Window)    
frmSetGroupFirms                         Form (UI Window)    
frmSettings                              Form (UI Window)    
frmShowAccountFlatType                   Form (UI Window)    
frmShowCommissionBasisParties            Form (UI Window)    
frmShowInterest                          Form (UI Window)    
frmShowStockGodowns                      Form (UI Window)    
frmSimpleStockOptions                    Form (UI Window)    
frmSIMReportOptions                      Form (UI Window)    
frmSIMReportParties                      Form (UI Window)    
frmSIMReportVouchers                     Form (UI Window)    
frmSingleEntryVoucher                    Form (UI Window)    
frmSocialNGOVoucherOptions               Form (UI Window)    
frmSocietyCodeWiseList                   Form (UI Window)    
frmSoftDrinksVoucherOptions              Form (UI Window)    
frmSolventVoucherOptions                 Form (UI Window)    
frmSplash                                Form (UI Window)    
frmST38ListOptions                       Form (UI Window)    
frmStaffSalaryAutoEntryList              Form (UI Window)    
frmStartingMenu                          Form (UI Window)    
frmStatePurcOptions                      Form (UI Window)    
frmStateSaleOptions                      Form (UI Window)    
frmStationList                           Form (UI Window)    
frmStatutoryFormsOptions                 Form (UI Window)    
frmStockConverterVoucher                 Form (UI Window)    
frmStockGodown                           Form (UI Window)    
frmStockGodownList                       Form (UI Window)    
frmStockGroup                            Form (UI Window)    
frmStockGroupList                        Form (UI Window)    
frmStockGroupListForTradingReport        Form (UI Window)    
frmStockItem                             Form (UI Window)    
frmStockItemList                         Form (UI Window)    
frmStockItemStockSummary                 Form (UI Window)    
frmStockRegisterDetailedGroups           Form (UI Window)    
frmStockRegisterDetailedItemWise         Form (UI Window)    
frmStockRegisterForPesticide             Form (UI Window)    
frmStockReportOptions                    Form (UI Window)    
frmStockReportOptionsMarket              Form (UI Window)    
frmStockSummary                          Form (UI Window)    
frmStockSummaryOptions                   Form (UI Window)    
frmStockTransferGodownVouchers           Form (UI Window)    
frmStockTransferVoucher                  Form (UI Window)    
frmStockTransferVoucherA                 Form (UI Window)    
frmStockTransferVoucherOptions           Form (UI Window)    
frmStockUnit                             Form (UI Window)    
frmStockUnitList                         Form (UI Window)    
